"microbe","Taxonomy","domain","kingdom","phylum","class","order","family","genus","species"
"Cronobacter.universalis","d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Cronobacter|s__Cronobacter universalis","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Cronobacter","s__Cronobacter universalis"
"Cryobacterium.arcticum","d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Cryobacterium|s__Cryobacterium arcticum","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Cryobacterium","s__Cryobacterium arcticum"
"Cryobacterium.sp..GCJ02","d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Cryobacterium|s__Cryobacterium sp. GCJ02","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Cryobacterium","s__Cryobacterium sp. GCJ02"
"Cryobacterium.sp..LW097","d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Cryobacterium|s__Cryobacterium sp. LW097","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Cryobacterium","s__Cryobacterium sp. LW097"
"Cryptobacterium.curtum","d__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Cryptobacterium|s__Cryptobacterium curtum","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Coriobacteriia","o__Eggerthellales","f__Eggerthellaceae","g__Cryptobacterium","s__Cryptobacterium curtum"
"Cryptococcus.gattii.VGI","d__Eukaryota|k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Tremellales|f__Cryptococcaceae|g__Cryptococcus|s__Cryptococcus gattii VGI","d__Eukaryota","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Cryptococcaceae","g__Cryptococcus","s__Cryptococcus gattii VGI"
"Cryptococcus.neoformans","d__Eukaryota|k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Tremellales|f__Cryptococcaceae|g__Cryptococcus|s__Cryptococcus neoformans","d__Eukaryota","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Cryptococcaceae","g__Cryptococcus","s__Cryptococcus neoformans"
"Cryptomonas.paramecium","d__Eukaryota|p__Cryptophyta|o__Cryptomonadales|f__Cryptomonadaceae|g__Cryptomonas|s__Cryptomonas paramecium","d__Eukaryota","k__unclassified-p__Cryptophyta","p__Cryptophyta","c__unclassified-o__Cryptomonadales","o__Cryptomonadales","f__Cryptomonadaceae","g__Cryptomonas","s__Cryptomonas paramecium"
"Cryptosporidium.parvum","d__Eukaryota|p__Apicomplexa|c__Conoidasida|o__Eucoccidiorida|f__Cryptosporidiidae|g__Cryptosporidium|s__Cryptosporidium parvum","d__Eukaryota","k__unclassified-p__Apicomplexa","p__Apicomplexa","c__Conoidasida","o__Eucoccidiorida","f__Cryptosporidiidae","g__Cryptosporidium","s__Cryptosporidium parvum"
"Cucumber.mosaic.virus","d__Viruses|f__Bromoviridae|g__Cucumovirus|s__Cucumber mosaic virus","d__Viruses","k__unclassified-f__Bromoviridae","p__unclassified-f__Bromoviridae","c__unclassified-f__Bromoviridae","o__unclassified-f__Bromoviridae","f__Bromoviridae","g__Cucumovirus","s__Cucumber mosaic virus"
"Cucumis.melo.alphaendornavirus","d__Viruses|f__Endornaviridae|g__Alphaendornavirus|s__Cucumis melo alphaendornavirus","d__Viruses","k__unclassified-f__Endornaviridae","p__unclassified-f__Endornaviridae","c__unclassified-f__Endornaviridae","o__unclassified-f__Endornaviridae","f__Endornaviridae","g__Alphaendornavirus","s__Cucumis melo alphaendornavirus"
"Cucumis.sativus","d__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Cucurbitales|f__Cucurbitaceae|g__Cucumis|s__Cucumis sativus","d__Eukaryota","k__Viridiplantae","p__Streptophyta","c__Magnoliopsida","o__Cucurbitales","f__Cucurbitaceae","g__Cucumis","s__Cucumis sativus"
