"microbe","Taxonomy","domain","kingdom","phylum","class","order","family","genus","species"
"Mycobacterium.sp..QIA.37","d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium sp. QIA-37","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycobacterium","s__Mycobacterium sp. QIA-37"
"Mycobacterium.sp..THAF192","d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium sp. THAF192","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycobacterium","s__Mycobacterium sp. THAF192"
"Mycobacterium.sp..WY10","d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium sp. WY10","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycobacterium","s__Mycobacterium sp. WY10"
"Mycobacterium.sp..YC.RL4","d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium sp. YC-RL4","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycobacterium","s__Mycobacterium sp. YC-RL4"
"Mycobacterium.tuberculosis","d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium tuberculosis","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycobacterium","s__Mycobacterium tuberculosis"
"Mycobacterium.ulcerans","d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium ulcerans","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycobacterium","s__Mycobacterium ulcerans"
"Mycobacterium.virus.Adawi","d__Viruses|o__Caudovirales|f__Siphoviridae|g__Coopervirus|s__Mycobacterium virus Adawi","d__Viruses","k__unclassified-o__Caudovirales","p__unclassified-o__Caudovirales","c__unclassified-o__Caudovirales","o__Caudovirales","f__Siphoviridae","g__Coopervirus","s__Mycobacterium virus Adawi"
"Mycobacterium.virus.Anaya","d__Viruses|o__Caudovirales|f__Siphoviridae|g__Timquatrovirus|s__Mycobacterium virus Anaya","d__Viruses","k__unclassified-o__Caudovirales","p__unclassified-o__Caudovirales","c__unclassified-o__Caudovirales","o__Caudovirales","f__Siphoviridae","g__Timquatrovirus","s__Mycobacterium virus Anaya"
"Mycobacterium.virus.Babsiella","d__Viruses|o__Caudovirales|f__Siphoviridae|g__Brujitavirus|s__Mycobacterium virus Babsiella","d__Viruses","k__unclassified-o__Caudovirales","p__unclassified-o__Caudovirales","c__unclassified-o__Caudovirales","o__Caudovirales","f__Siphoviridae","g__Brujitavirus","s__Mycobacterium virus Babsiella"
"Mycobacterium.virus.Bane1","d__Viruses|o__Caudovirales|f__Siphoviridae|g__Coopervirus|s__Mycobacterium virus Bane1","d__Viruses","k__unclassified-o__Caudovirales","p__unclassified-o__Caudovirales","c__unclassified-o__Caudovirales","o__Caudovirales","f__Siphoviridae","g__Coopervirus","s__Mycobacterium virus Bane1"
"Mycobacterium.virus.Barnyard","d__Viruses|o__Caudovirales|f__Siphoviridae|g__Barnyardvirus|s__Mycobacterium virus Barnyard","d__Viruses","k__unclassified-o__Caudovirales","p__unclassified-o__Caudovirales","c__unclassified-o__Caudovirales","o__Caudovirales","f__Siphoviridae","g__Barnyardvirus","s__Mycobacterium virus Barnyard"
"Mycobacterium.virus.Bernal13","d__Viruses|o__Caudovirales|f__Siphoviridae|g__Bernalvirus|s__Mycobacterium virus Bernal13","d__Viruses","k__unclassified-o__Caudovirales","p__unclassified-o__Caudovirales","c__unclassified-o__Caudovirales","o__Caudovirales","f__Siphoviridae","g__Bernalvirus","s__Mycobacterium virus Bernal13"
"Mycobacterium.virus.Bignuz","d__Viruses|o__Caudovirales|f__Siphoviridae|g__Bignuzvirus|s__Mycobacterium virus Bignuz","d__Viruses","k__unclassified-o__Caudovirales","p__unclassified-o__Caudovirales","c__unclassified-o__Caudovirales","o__Caudovirales","f__Siphoviridae","g__Bignuzvirus","s__Mycobacterium virus Bignuz"
"Mycobacterium.virus.Bongo","d__Viruses|o__Caudovirales|f__Siphoviridae|g__Bongovirus|s__Mycobacterium virus Bongo","d__Viruses","k__unclassified-o__Caudovirales","p__unclassified-o__Caudovirales","c__unclassified-o__Caudovirales","o__Caudovirales","f__Siphoviridae","g__Bongovirus","s__Mycobacterium virus Bongo"
"Mycobacterium.virus.Brujita","d__Viruses|o__Caudovirales|f__Siphoviridae|g__Brujitavirus|s__Mycobacterium virus Brujita","d__Viruses","k__unclassified-o__Caudovirales","p__unclassified-o__Caudovirales","c__unclassified-o__Caudovirales","o__Caudovirales","f__Siphoviridae","g__Brujitavirus","s__Mycobacterium virus Brujita"
"Mycobacterium.virus.Bxz1","d__Viruses|o__Caudovirales|f__Myoviridae|g__Bixzunavirus|s__Mycobacterium virus Bxz1","d__Viruses","k__unclassified-o__Caudovirales","p__unclassified-o__Caudovirales","c__unclassified-o__Caudovirales","o__Caudovirales","f__Myoviridae","g__Bixzunavirus","s__Mycobacterium virus Bxz1"
"Mycobacterium.virus.Bxz2","d__Viruses|o__Caudovirales|f__Siphoviridae|g__Fromanvirus|s__Mycobacterium virus Bxz2","d__Viruses","k__unclassified-o__Caudovirales","p__unclassified-o__Caudovirales","c__unclassified-o__Caudovirales","o__Caudovirales","f__Siphoviridae","g__Fromanvirus","s__Mycobacterium virus Bxz2"
"Mycobacterium.virus.Che9c","d__Viruses|o__Caudovirales|f__Siphoviridae|g__Chenonavirus|s__Mycobacterium virus Che9c","d__Viruses","k__unclassified-o__Caudovirales","p__unclassified-o__Caudovirales","c__unclassified-o__Caudovirales","o__Caudovirales","f__Siphoviridae","g__Chenonavirus","s__Mycobacterium virus Che9c"
"Mycobacterium.virus.Cooper","d__Viruses|o__Caudovirales|f__Siphoviridae|g__Coopervirus|s__Mycobacterium virus Cooper","d__Viruses","k__unclassified-o__Caudovirales","p__unclassified-o__Caudovirales","c__unclassified-o__Caudovirales","o__Caudovirales","f__Siphoviridae","g__Coopervirus","s__Mycobacterium virus Cooper"
"Mycobacterium.virus.Ericb","d__Viruses|o__Caudovirales|f__Siphoviridae|g__Fromanvirus|s__Mycobacterium virus Ericb","d__Viruses","k__unclassified-o__Caudovirales","p__unclassified-o__Caudovirales","c__unclassified-o__Caudovirales","o__Caudovirales","f__Siphoviridae","g__Fromanvirus","s__Mycobacterium virus Ericb"
"Mycobacterium.virus.Ff47","d__Viruses|o__Caudovirales|f__Siphoviridae|g__Mapvirus|s__Mycobacterium virus Ff47","d__Viruses","k__unclassified-o__Caudovirales","p__unclassified-o__Caudovirales","c__unclassified-o__Caudovirales","o__Caudovirales","f__Siphoviridae","g__Mapvirus","s__Mycobacterium virus Ff47"
"Mycobacterium.virus.Giles","d__Viruses|o__Caudovirales|f__Siphoviridae|g__Gilesvirus|s__Mycobacterium virus Giles","d__Viruses","k__unclassified-o__Caudovirales","p__unclassified-o__Caudovirales","c__unclassified-o__Caudovirales","o__Caudovirales","f__Siphoviridae","g__Gilesvirus","s__Mycobacterium virus Giles"
"Mycobacterium.virus.Ibhubesi","d__Viruses|o__Caudovirales|f__Siphoviridae|g__Cheoctovirus|s__Mycobacterium virus Ibhubesi","d__Viruses","k__unclassified-o__Caudovirales","p__unclassified-o__Caudovirales","c__unclassified-o__Caudovirales","o__Caudovirales","f__Siphoviridae","g__Cheoctovirus","s__Mycobacterium virus Ibhubesi"
"Mycobacterium.virus.JAMaL","d__Viruses|o__Caudovirales|f__Siphoviridae|g__Coopervirus|s__Mycobacterium virus JAMaL","d__Viruses","k__unclassified-o__Caudovirales","p__unclassified-o__Caudovirales","c__unclassified-o__Caudovirales","o__Caudovirales","f__Siphoviridae","g__Coopervirus","s__Mycobacterium virus JAMaL"
"Mycobacterium.virus.Larva","d__Viruses|o__Caudovirales|f__Siphoviridae|g__Timquatrovirus|s__Mycobacterium virus Larva","d__Viruses","k__unclassified-o__Caudovirales","p__unclassified-o__Caudovirales","c__unclassified-o__Caudovirales","o__Caudovirales","f__Siphoviridae","g__Timquatrovirus","s__Mycobacterium virus Larva"
"Mycobacterium.virus.Littlee","d__Viruses|o__Caudovirales|f__Siphoviridae|g__Omegavirus|s__Mycobacterium virus Littlee","d__Viruses","k__unclassified-o__Caudovirales","p__unclassified-o__Caudovirales","c__unclassified-o__Caudovirales","o__Caudovirales","f__Siphoviridae","g__Omegavirus","s__Mycobacterium virus Littlee"
"Mycobacterium.virus.Mosmoris","d__Viruses|o__Caudovirales|f__Siphoviridae|g__Marvinvirus|s__Mycobacterium virus Mosmoris","d__Viruses","k__unclassified-o__Caudovirales","p__unclassified-o__Caudovirales","c__unclassified-o__Caudovirales","o__Caudovirales","f__Siphoviridae","g__Marvinvirus","s__Mycobacterium virus Mosmoris"
"Mycobacterium.virus.Nigel","d__Viruses|o__Caudovirales|f__Siphoviridae|g__Coopervirus|s__Mycobacterium virus Nigel","d__Viruses","k__unclassified-o__Caudovirales","p__unclassified-o__Caudovirales","c__unclassified-o__Caudovirales","o__Caudovirales","f__Siphoviridae","g__Coopervirus","s__Mycobacterium virus Nigel"
"Mycobacterium.virus.Oline","d__Viruses|o__Caudovirales|f__Siphoviridae|g__Pegunavirus|s__Mycobacterium virus Oline","d__Viruses","k__unclassified-o__Caudovirales","p__unclassified-o__Caudovirales","c__unclassified-o__Caudovirales","o__Caudovirales","f__Siphoviridae","g__Pegunavirus","s__Mycobacterium virus Oline"
"Mycobacterium.virus.Pacc40","d__Viruses|o__Caudovirales|f__Siphoviridae|g__Cheoctovirus|s__Mycobacterium virus Pacc40","d__Viruses","k__unclassified-o__Caudovirales","p__unclassified-o__Caudovirales","c__unclassified-o__Caudovirales","o__Caudovirales","f__Siphoviridae","g__Cheoctovirus","s__Mycobacterium virus Pacc40"
"Mycobacterium.virus.Phrann","d__Viruses|o__Caudovirales|f__Siphoviridae|g__Redivirus|s__Mycobacterium virus Phrann","d__Viruses","k__unclassified-o__Caudovirales","p__unclassified-o__Caudovirales","c__unclassified-o__Caudovirales","o__Caudovirales","f__Siphoviridae","g__Redivirus","s__Mycobacterium virus Phrann"
"Mycobacterium.virus.Predator","d__Viruses|o__Caudovirales|f__Siphoviridae|g__Barnyardvirus|s__Mycobacterium virus Predator","d__Viruses","k__unclassified-o__Caudovirales","p__unclassified-o__Caudovirales","c__unclassified-o__Caudovirales","o__Caudovirales","f__Siphoviridae","g__Barnyardvirus","s__Mycobacterium virus Predator"
"Mycobacterium.virus.Rey","d__Viruses|o__Caudovirales|f__Siphoviridae|g__Reyvirus|s__Mycobacterium virus Rey","d__Viruses","k__unclassified-o__Caudovirales","p__unclassified-o__Caudovirales","c__unclassified-o__Caudovirales","o__Caudovirales","f__Siphoviridae","g__Reyvirus","s__Mycobacterium virus Rey"
"Mycobacterium.virus.Shilan","d__Viruses|o__Caudovirales|f__Siphoviridae|g__Cheoctovirus|s__Mycobacterium virus Shilan","d__Viruses","k__unclassified-o__Caudovirales","p__unclassified-o__Caudovirales","c__unclassified-o__Caudovirales","o__Caudovirales","f__Siphoviridae","g__Cheoctovirus","s__Mycobacterium virus Shilan"
"Mycobacterium.virus.Stinger","d__Viruses|o__Caudovirales|f__Siphoviridae|g__Coopervirus|s__Mycobacterium virus Stinger","d__Viruses","k__unclassified-o__Caudovirales","p__unclassified-o__Caudovirales","c__unclassified-o__Caudovirales","o__Caudovirales","f__Siphoviridae","g__Coopervirus","s__Mycobacterium virus Stinger"
"Mycobacterium.virus.Suffolk","d__Viruses|o__Caudovirales|f__Siphoviridae|g__Pegunavirus|s__Mycobacterium virus Suffolk","d__Viruses","k__unclassified-o__Caudovirales","p__unclassified-o__Caudovirales","c__unclassified-o__Caudovirales","o__Caudovirales","f__Siphoviridae","g__Pegunavirus","s__Mycobacterium virus Suffolk"
"Mycobacterium.virus.TM4","d__Viruses|o__Caudovirales|f__Siphoviridae|g__Timquatrovirus|s__Mycobacterium virus TM4","d__Viruses","k__unclassified-o__Caudovirales","p__unclassified-o__Caudovirales","c__unclassified-o__Caudovirales","o__Caudovirales","f__Siphoviridae","g__Timquatrovirus","s__Mycobacterium virus TM4"
"Mycobacterium.virus.Turbido","d__Viruses|o__Caudovirales|f__Siphoviridae|g__Fromanvirus|s__Mycobacterium virus Turbido","d__Viruses","k__unclassified-o__Caudovirales","p__unclassified-o__Caudovirales","c__unclassified-o__Caudovirales","o__Caudovirales","f__Siphoviridae","g__Fromanvirus","s__Mycobacterium virus Turbido"
"Mycobacterium.virus.Wildcat","d__Viruses|o__Caudovirales|f__Siphoviridae|g__Wildcatvirus|s__Mycobacterium virus Wildcat","d__Viruses","k__unclassified-o__Caudovirales","p__unclassified-o__Caudovirales","c__unclassified-o__Caudovirales","o__Caudovirales","f__Siphoviridae","g__Wildcatvirus","s__Mycobacterium virus Wildcat"
"Mycobacterium.virus.Yoshi","d__Viruses|o__Caudovirales|f__Siphoviridae|g__Cheoctovirus|s__Mycobacterium virus Yoshi","d__Viruses","k__unclassified-o__Caudovirales","p__unclassified-o__Caudovirales","c__unclassified-o__Caudovirales","o__Caudovirales","f__Siphoviridae","g__Cheoctovirus","s__Mycobacterium virus Yoshi"
"Mycobacteroides.abscessus","d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacteroides|s__Mycobacteroides abscessus","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycobacteroides","s__Mycobacteroides abscessus"
"Mycobacteroides.chelonae","d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacteroides|s__Mycobacteroides chelonae","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycobacteroides","s__Mycobacteroides chelonae"
"Mycobacteroides.immunogenum","d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacteroides|s__Mycobacteroides immunogenum","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycobacteroides","s__Mycobacteroides immunogenum"
"Mycobacteroides.salmoniphilum","d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacteroides|s__Mycobacteroides salmoniphilum","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycobacteroides","s__Mycobacteroides salmoniphilum"
"Mycobacteroides.saopaulense","d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacteroides|s__Mycobacteroides saopaulense","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycobacteroides","s__Mycobacteroides saopaulense"
"Mycolicibacter.sinensis","d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacter|s__Mycolicibacter sinensis","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycolicibacter","s__Mycolicibacter sinensis"
"Mycolicibacter.terrae","d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacter|s__Mycolicibacter terrae","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycolicibacter","s__Mycolicibacter terrae"
"Mycolicibacterium.aurum","d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium aurum","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycolicibacterium","s__Mycolicibacterium aurum"
"Mycolicibacterium.chitae","d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium chitae","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycolicibacterium","s__Mycolicibacterium chitae"
"Mycolicibacterium.chubuense","d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium chubuense","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycolicibacterium","s__Mycolicibacterium chubuense"
"Mycolicibacterium.flavescens","d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium flavescens","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycolicibacterium","s__Mycolicibacterium flavescens"
"Mycolicibacterium.fortuitum","d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium fortuitum","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycolicibacterium","s__Mycolicibacterium fortuitum"
"Mycolicibacterium.gilvum","d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium gilvum","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycolicibacterium","s__Mycolicibacterium gilvum"
"Mycolicibacterium.goodii","d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium goodii","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycolicibacterium","s__Mycolicibacterium goodii"
"Mycolicibacterium.hassiacum","d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium hassiacum","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycolicibacterium","s__Mycolicibacterium hassiacum"
"Mycolicibacterium.neoaurum","d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium neoaurum","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycolicibacterium","s__Mycolicibacterium neoaurum"
"Mycolicibacterium.rhodesiae","d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium rhodesiae","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycolicibacterium","s__Mycolicibacterium rhodesiae"
"Mycolicibacterium.rutilum","d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium rutilum","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycolicibacterium","s__Mycolicibacterium rutilum"
"Mycolicibacterium.smegmatis","d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium smegmatis","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycolicibacterium","s__Mycolicibacterium smegmatis"
"Mycolicibacterium.thermoresistibile","d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium thermoresistibile","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycolicibacterium","s__Mycolicibacterium thermoresistibile"
"Mycolicibacterium.vaccae","d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium vaccae","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycolicibacterium","s__Mycolicibacterium vaccae"
"Mycolicibacterium.vanbaalenii","d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium vanbaalenii","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycolicibacterium","s__Mycolicibacterium vanbaalenii"
"Mycoplasma.agalactiae","d__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma agalactiae","d__Bacteria","k__unclassified-p__Tenericutes","p__Tenericutes","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma agalactiae"
"Mycoplasma.alkalescens","d__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma alkalescens","d__Bacteria","k__unclassified-p__Tenericutes","p__Tenericutes","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma alkalescens"
"Mycoplasma.anatis","d__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma anatis","d__Bacteria","k__unclassified-p__Tenericutes","p__Tenericutes","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma anatis"
"Mycoplasma.anseris","d__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma anseris","d__Bacteria","k__unclassified-p__Tenericutes","p__Tenericutes","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma anseris"
"Mycoplasma.anserisalpingitis","d__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma anserisalpingitis","d__Bacteria","k__unclassified-p__Tenericutes","p__Tenericutes","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma anserisalpingitis"
"Mycoplasma.arginini","d__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma arginini","d__Bacteria","k__unclassified-p__Tenericutes","p__Tenericutes","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma arginini"
"Mycoplasma.arthritidis","d__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma arthritidis","d__Bacteria","k__unclassified-p__Tenericutes","p__Tenericutes","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma arthritidis"
"Mycoplasma.bovigenitalium","d__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma bovigenitalium","d__Bacteria","k__unclassified-p__Tenericutes","p__Tenericutes","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma bovigenitalium"
"Mycoplasma.bovirhinis","d__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma bovirhinis","d__Bacteria","k__unclassified-p__Tenericutes","p__Tenericutes","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma bovirhinis"
"Mycoplasma.bovis","d__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma bovis","d__Bacteria","k__unclassified-p__Tenericutes","p__Tenericutes","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma bovis"
"Mycoplasma.bovoculi","d__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma bovoculi","d__Bacteria","k__unclassified-p__Tenericutes","p__Tenericutes","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma bovoculi"
"Mycoplasma.californicum","d__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma californicum","d__Bacteria","k__unclassified-p__Tenericutes","p__Tenericutes","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma californicum"
"Mycoplasma.canadense","d__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma canadense","d__Bacteria","k__unclassified-p__Tenericutes","p__Tenericutes","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma canadense"
"Mycoplasma.canis","d__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma canis","d__Bacteria","k__unclassified-p__Tenericutes","p__Tenericutes","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma canis"
