"hazard.ratio.D","pvalue.D","taxa","n.patient","n.death","low.bound.D","upper.bound.D","hazard.ratio.C","pvalue.C","taxa","low.bound.C","upper.bound.C"
1.15224624995892,0.674039573327234,"order_Cellvibrionales",76,34,0.595327561080442,2.23015278871827,1.35037268577804,0.374529404943581,"order_Cellvibrionales",0.695869096789951,2.6204733029635
1.82138093760255,0.25214012963987,"order_Chromatiales",89,42,0.652713025763862,5.08252231672501,2.2916695730962,0.115923829832021,"order_Chromatiales",0.814983256009609,6.44399672450818
NA,NA,"order_Clostridiales",104,46,NA,NA,NA,NA,"order_Clostridiales",NA,NA
0.745337373666669,0.416956749679495,"order_Corynebacteriales",83,36,0.366552050504259,1.51554956470738,0.852203709398627,0.656577704760408,"order_Corynebacteriales",0.421097214912431,1.72466389373724
1.28631293425875,0.414082489143918,"order_Cryptomonadales",38,17,0.702975231834747,2.35371161018417,1.28134518928616,0.420652184769532,"order_Cryptomonadales",0.700844715030474,2.34266658347477
NA,NA,"order_Cucurbitales",104,46,NA,NA,NA,NA,"order_Cucurbitales",NA,NA
0.870712477349909,0.772510188681103,"order_Cyanidiales",96,41,0.34059928828003,2.22590077049573,0.889406316098611,0.806345959857938,"order_Cyanidiales",0.348454723719102,2.27014742883434
0.821561345722675,0.509261195605,"order_Cytophagales",50,22,0.458296886079974,1.47276375922805,0.764382326197302,0.373504351258754,"order_Cytophagales",0.422976122873883,1.3813553744664
NA,NA,"order_Deinococcales",0,0,NA,NA,NA,NA,"order_Deinococcales",NA,NA
NA,NA,"order_Desulfovibrionales",0,0,NA,NA,NA,NA,"order_Desulfovibrionales",NA,NA
NA,NA,"order_Desulfuromonadales",0,0,NA,NA,NA,NA,"order_Desulfuromonadales",NA,NA
1.84027062117967,0.54696339453264,"order_Dictyosteliales",100,45,0.2528979867389,13.3911542865441,2.62014326098415,0.34183484712892,"order_Dictyosteliales",0.359555649843366,19.0934302132961
3.03709564258538,0.0344268204335913,"order_Enterobacterales",83,42,1.08485937815727,8.50243831405945,3.5539316186196,0.0159399656456316,"order_Enterobacterales",1.26733403011906,9.96614124583834
0.123881677133455,0.0448145742611823,"order_Eucoccidiorida",103,45,0.0161065106788335,0.952823999897476,0.204468963801011,0.121865953493105,"order_Eucoccidiorida",0.027366789490043,1.52767489124255
NA,NA,"order_Eurotiales",104,46,NA,NA,NA,NA,"order_Eurotiales",NA,NA
NA,NA,"order_Fabales",104,46,NA,NA,NA,NA,"order_Fabales",NA,NA
NA,NA,"order_Fagales",104,46,NA,NA,NA,NA,"order_Fagales",NA,NA
0.894564799615208,0.707969421907926,"order_Flavobacteriales",51,23,0.499375269361264,1.60249461639173,0.830427881555464,0.53728791549628,"order_Flavobacteriales",0.460174625215422,1.49858429534629
1.06931495782221,0.827400555094604,"order_Frankiales",41,17,0.585424218141916,1.95317249199473,1.09737295336186,0.763607326025959,"order_Frankiales",0.59891649131543,2.01067664062018
NA,NA,"order_Funariales",104,46,NA,NA,NA,NA,"order_Funariales",NA,NA
0.919753560877587,0.809648452459176,"order_Fusobacteriales",28,11,0.465668993571636,1.81662645446645,0.743278682440746,0.392621377094654,"order_Fusobacteriales",0.376479803162027,1.46744445553454
NA,NA,"order_Gemmatimonadales",0,0,NA,NA,NA,NA,"order_Gemmatimonadales",NA,NA
2.77513882004954,0.315729612375167,"order_Gentianales",101,45,0.377829800117409,20.3832399354228,2.49101132890022,0.368815832657728,"order_Gentianales",0.340344438241228,18.2319343097689
1.20381573130372,0.55079698946098,"order_Geodermatophilales",67,29,0.654466544743631,2.21428020511266,1.08053433081723,0.800183511155207,"order_Geodermatophilales",0.593139729332096,1.96843067887118
NA,NA,"order_Glomerellales",104,46,NA,NA,NA,NA,"order_Glomerellales",NA,NA
NA,NA,"order_Haemosporida",104,46,NA,NA,NA,NA,"order_Haemosporida",NA,NA
NA,NA,"order_Helotiales",104,46,NA,NA,NA,NA,"order_Helotiales",NA,NA
0.832540426658135,0.553623429468865,"order_Herpesvirales",37,17,0.453981560884533,1.52676589038029,0.794881878579892,0.467072506322757,"order_Herpesvirales",0.428168608833746,1.47567380667095
