"Gene","n","rank"
"FLJ35776",562,353
"CYB561D2",560,354
"FGD5-AS1",554,355
"PABPC1",547,356
"LINC00311",546,357
"LOC100499467",545,358
"SNORA20",543,359
"ZNF605",533,360
"LOC283663",527,361
"LSM11",526,362
"NBPF24",524,363
"EXOSC4",512,364
"LAGE3",511,365
"DDX28",508,366
"GNG10",497,367
"CISD3",494,368
"DHRS4L1",486,369
"LOC441666",486,370
"C16orf87",485,371
"LOC100131551",477,372
"TSPO",477,373
"LOC284454",470,374
"C19orf52",460,375
"LOC100506888",456,376
"POP5",452,377
"SNORA66",443,378
"CRNDE",440,379
"FAM156A",440,380
"LOC283174",434,381
"ZNF182",403,382
"NUDT16L1",391,383
"ZNF699",388,384
"NEDD8-MDP1",387,385
"OIP5-AS1",385,386
"ZNF772",383,387
"LOC115110",375,388
"ZNF738",375,389
"EGOT",354,390
"LOC374443",339,391
"RPPH1",339,392
"SNORA27",338,393
"STOML1",333,394
"SNORD83A",332,395
"ZNF503-AS2",330,396
"LOC100506178",319,397
"MUTED-TXNDC5",318,398
"DKFZP586I1420",313,399
"ZNF154",312,400
"SNORD9",305,401
"PARS2",303,402
"KLHL26",300,403
"LOC100130000",298,404
"ZNF708",298,405
"MAD2L1BP",296,406
"LOC644656",290,407
"TCEB3C",289,408
"ZNF519",288,409
"TEN1",287,410
"MIR1248",279,411
"LOC100216545",272,412
"SNORD116-26",265,413
"FAM156B",262,414
"FRMD6-AS1",261,415
"SNORD46",259,416
"LOC148413",258,417
"LOC100506334",257,418
"LOC100129148",254,419
"LOC284578",252,420
"SNORD116-14",252,421
"MPST",248,422
"NEAT1",246,423
"TPGS1",245,424
"LOC648987",243,425
"ZNF595",238,426
"SPIN3",236,427
"LOC100507423",235,428
"LOC728730",226,429
"ZNF429",222,430
"SNORA26",212,431
"ZNF14",211,432
"ZNF737",211,433
"LOC100505839",210,434
"ZNF98",205,435
"SEMA4F",199,436
"LOC100130954",197,437
"LOC646762",195,438
"MS4A10",195,439
"LOC100379224",194,440
"TSPAN33",192,441
"ZNF93",192,442
"C17orf65",188,443
"MGC57346",187,444
"LOC257396",186,445
"SCARNA22",186,446
"LOC100306951",183,447
"NEK5",183,448
"ZNF611",183,449
"ZNF876P",180,450
"ZNF566",179,451
"LINC00511",178,452
"INE2",171,453
"FLJ20021",170,454
"LINC00152",168,455
"SMAD5-AS1",164,456
"CLP1",163,457
"NME3",163,458
"LINC00319",162,459
"OR6W1P",160,460
"ZNF726",160,461
"LINC00312",158,462
"SDF2L1",156,463
"SHISA9",156,464
"C12orf47",152,465
"ZNF160",152,466
"TMEM198B",151,467
"ZNF420",151,468
"ZNF841",151,469
"LOC646719",148,470
"PSIMCT-1",146,471
"CBX3P2",145,472
"LOC100506385",144,473
"LOC151475",143,474
"LOC653712",140,475
"ZNF548",140,476
"PRSS36",139,477
"ZNF37BP",139,478
"SLC27A3",137,479
"ZNF486",137,480
"ZNF252",135,481
"LINC00174",133,482
"C14orf23",131,483
"PFN1P2",131,484
"LOC153684",127,485
"SNORA84",127,486
"HSP90AB2P",126,487
"SNORA52",126,488
"LOC401074",125,489
"RBAK-LOC389458",125,490
"LOC100286844",124,491
"FAM109B",123,492
"AMDHD2",120,493
"LOC339803",120,494
"SNORA18",120,495
"EGR1",119,496
"P4HTM",118,497
"LOC100131564",115,498
"FLJ14107",114,499
"LOC100506668",114,500
"LOC284865",114,501
"ZNF347",114,502
"ZNF493",114,503
"GLI4",111,504
"ZNF682",111,505
"LOC158572",110,506
"ZNF530",110,507
"HOXD-AS1",109,508
"SNORA54",108,509
"CD320",105,510
"LINC00260",105,511
"MRPS36",104,512
"SCARNA23",104,513
"FLJ37035",102,514
"SNORA38",102,515
"CYSTM1",101,516
"LOC100303749",101,517
"LOC100505989",101,518
"TMEM98",101,519
"DKFZp686O1327",100,520
"MGC16275",100,521
"ZNF546",100,522
"LOC729013",98,523
"TTC28-AS1",98,524
"MAP1LC3A",97,525
"CHST9-AS1",96,526
"LINC00094",96,527
"LINC00472",96,528
"KIAA1274",95,529
"SIRT6",95,530
"SNORA32",95,531
"ZBTB20-AS1",95,532
"ZNF256",95,533
"LOC100131067",94,534
"LINC00339",93,535
"ZNF43",90,536
"ZNF85",90,537
"ADAMTS9-AS2",89,538
"FEN1",88,539
"SNORD68",88,540
"ZNF70",88,541
"SCARNA11",86,542
"SNORD116-22",86,543
"LOC100133612",85,544
"SNORD116-20",84,545
"ZNF461",83,546
"IPW",82,547
"LOC100132077",82,548
"LOC100506730",82,549
"SNORD116-9",82,550
"ISG15",81,551
"PEX11A",79,552
"RGPD6",79,553
"C1orf229",78,554
"ZNF211",78,555
"ZNF304",77,556
"ZNF506",77,557
"ZNF749",77,558
"MTRNR2L6",73,559
"C16orf91",71,560
"LOC100506305",71,561
"PPIAL4C",71,562
"ZNF320",71,563
"ZNF345",71,564
"C11orf67",69,565
"FBXL14",69,566
"TMEM102",69,567
"RBM26-AS1",67,568
"JMJD5",66,569
"LOC100507217",66,570
"PKI55",66,571
"EXOSC6",65,572
"FAM66B",65,573
"LINC00476",65,574
"LOC100132741",65,575
"LOC100506190",65,576
"SNORD8",65,577
"BOLA3-AS1",63,578
"DAGLA",63,579
"FGF5",62,580
"MGC27345",62,581
"MIR210HG",62,582
"SNORA7B",62,583
"TSNAX-DISC1",62,584
"DAK",61,585
"MTVR2",61,586
"LOC100505715",60,587
"LOC645212",60,588
"LOC729178",60,589
"ZBTB9",60,590
"ZNF625",59,591
"MLK7-AS1",58,592
"C11orf83",57,593
"LOC100288069",56,594
"ZNF25",56,595
"LOC100270804",55,596
"LOC100506710",55,597
"LOC340037",55,598
"MIR181A2HG",55,599
"LOC388796",54,600
"SCARNA3",54,601
"MGC39372",53,602
"PLGLB2",53,603
"RANBP2",53,604
"ZNF581",53,605
"MCM3AP-AS1",52,606
"FLJ37453",51,607
"LOC220906",51,608
"MIR100HG",51,609
"RGPD5",51,610
"ZNF732",51,611
"C17orf59",49,612
"METTL11A",48,613
"SNHG3",48,614
"JAGN1",47,615
"LOC158257",47,616
"ANKRD20A9P",46,617
"ZNF826P",46,618
"HYMAI",44,619
"PRORSD1P",44,620
"VAMP2",44,621
"LOC283299",43,622
"LRP3",43,623
"METTL21A",43,624
"MGC2889",43,625
"SERTAD1",43,626
