"microbe","cancer","TCC.dir","TCC.sig","TCGA.dir","TCGA.sig","agree.code","taxalev"
"c__Cytophagia","BLCA","NA","NA","pos","FALSE",FALSE,"c"
"c__Cytophagia","COAD","NA","NA","neg","FALSE",FALSE,"c"
"c__Cytophagia","KIRC","NA","NA","pos","FALSE",FALSE,"c"
"c__Cytophagia","LUAD","neg","FALSE","pos","FALSE",FALSE,"c"
"c__Cytophagia","LUSC","pos","NA","pos","FALSE",FALSE,"c"
"c__Cytophagia","READ","neg","FALSE","neg","FALSE",FALSE,"c"
"c__Cytophagia","SARC","neg","FALSE","neg","FALSE",FALSE,"c"
"c__Cytophagia","SKCM","NA","NA","neg","FALSE",FALSE,"c"
"c__Deinococci","All","pos","FALSE","neg","FALSE",FALSE,"c"
"c__Deinococci","BLCA","NA","NA","pos","FALSE",FALSE,"c"
"c__Deinococci","COAD","pos","FALSE","neg","FALSE",FALSE,"c"
"c__Deinococci","KIRC","NA","NA","pos","FALSE",FALSE,"c"
"c__Deinococci","LUAD","pos","FALSE","pos","FALSE",FALSE,"c"
"c__Deinococci","LUSC","pos","NA","neg","TRUE",FALSE,"c"
"c__Deinococci","READ","NA","NA","neg","FALSE",FALSE,"c"
"c__Deinococci","SARC","pos","FALSE","pos","FALSE",FALSE,"c"
"c__Deinococci","SKCM","NA","NA","pos","FALSE",FALSE,"c"
"c__Deltaproteobacteria","All","pos","FALSE","neg","FALSE",FALSE,"c"
"c__Deltaproteobacteria","BLCA","pos","FALSE","neg","FALSE",FALSE,"c"
"c__Deltaproteobacteria","COAD","pos","FALSE","neg","TRUE",FALSE,"c"
"c__Deltaproteobacteria","KIRC","pos","FALSE","pos","FALSE",FALSE,"c"
"c__Deltaproteobacteria","LUAD","pos","FALSE","neg","FALSE",FALSE,"c"
"c__Deltaproteobacteria","LUSC","pos","NA","neg","FALSE",FALSE,"c"
"c__Deltaproteobacteria","READ","neg","FALSE","neg","TRUE",FALSE,"c"
"c__Deltaproteobacteria","SARC","pos","FALSE","pos","FALSE",FALSE,"c"
"c__Deltaproteobacteria","SKCM","pos","FALSE","pos","FALSE",FALSE,"c"
