"microbe","PreNorm.sig","PreNorm.dir","Norm.sig","Norm.dir","consistentEffect"
"f__Chaetomiaceae","TRUE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Chitinophagaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Christensenellaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Chromatiaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Chromobacteriaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Chroococcaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Chroococcidiopsidaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Chthonomonadaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Clavicipitaceae","TRUE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Clostridiaceae","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Comamonadaceae","TRUE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Conexivisphaeraceae","TRUE","enrichedFFPE","TRUE","enrichedFFPE",TRUE
"f__Corynebacteriaceae","TRUE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Coxiellaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Cryptococcaceae","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Cryptosporidiidae","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Cytophagaceae","FALSE","enrichedFF","FALSE","enrichedFFPE",FALSE
"f__Debaryomycetaceae","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Dermacoccaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Dermatophilaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Desulfovibrionaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Dietziaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Dipodascaceae","FALSE","enrichedFF","FALSE","enrichedFFPE",FALSE
"f__Dysgonomonadaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Eggerthellaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Egibacteraceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Enterobacteriaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Enterococcaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Erwiniaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Erysipelotrichaceae","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Erythrobacteraceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Eubacteriaceae","FALSE","enrichedFF","FALSE","enrichedFFPE",FALSE
"f__Fimbriimonadaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Flammeovirgaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Flavobacteriaceae","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Fluviibacteraceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Frankiaceae","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Fulvivirgaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Fusobacteriaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Geminigeraceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Gemmataceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Gemmatimonadaceae","TRUE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Geodermatophilaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Gloeomargaritaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Glomerellaceae","TRUE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Glycomycetaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Hafniaceae","FALSE","enrichedFFPE","TRUE","enrichedFFPE",FALSE
"f__Halieaceae","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Haliscomenobacteraceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Halobacteriovoraceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Halomonadaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Halorubraceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Halothiobacillaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Hemiselmidaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Hexamitidae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Hominidae","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Hymenobacteraceae","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Hyphomicrobiaceae","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Hyphomonadaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Iamiaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Isosphaeraceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Jatrophihabitantaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Kiritimatiellaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Ktedonosporobacteraceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Labilitrichaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Lachnospiraceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Lactobacillaceae","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Legionellaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Leptospiraceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Leptotrichiaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Listeriaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Marasmiaceae","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Maricaulaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Melioribacteraceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Methanobacteriaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Methylobacteriaceae","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Methylophilaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Microbacteriaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Micrococcaceae","TRUE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Micromonosporaceae","TRUE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Miltoncostaeaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Moraxellaceae","TRUE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Morganellaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Mycobacteriaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Mycoplasmataceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Mycosphaerellaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Myoviridae","TRUE","enrichedFFPE","TRUE","enrichedFFPE",TRUE
"f__Nakamurellaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Natrialbaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Nectriaceae","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Neisseriaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Nitrospiraceae","FALSE","enrichedFF","FALSE","enrichedFFPE",FALSE
"f__Nocardiaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Nocardioidaceae","FALSE","enrichedFF","FALSE","enrichedFFPE",FALSE
"f__Nostocaceae","FALSE","enrichedFF","FALSE","enrichedFFPE",FALSE
"f__Odoribacteraceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Opitutaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Ornithinimicrobiaceae","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Oscillospiraceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Oxalobacteraceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Paludibacteraceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Parachlamydiaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Pasteurellaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Pectobacteriaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Pelagibacteraceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Peptoniphilaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Peptostreptococcaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Phreatobacteraceae","FALSE","enrichedFFPE","TRUE","enrichedFFPE",FALSE
"f__Phycisphaeraceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Pichiaceae","TRUE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Pirellulaceae","FALSE","enrichedFF","FALSE","enrichedFFPE",FALSE
"f__Planctomycetaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Planococcaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Plasmodiidae","FALSE","enrichedFF","TRUE","enrichedFF",FALSE
"f__Podoviridae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Polyangiaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Porphyromonadaceae","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Prevotellaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Prochloraceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Prochlorotrichaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Propionibacteriaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Pseudomonadaceae","TRUE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Pseudonocardiaceae","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Pyriculariaceae","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Retroviridae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Rhizobiaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Rhodanobacteraceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Rhodobacteraceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Rhodocyclaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Rhodospirillaceae","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Rhodothermaceae","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Rickettsiaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Rikenellaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Rountreeviridae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Rubrobacteraceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Saccharomycetaceae","TRUE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Sandaracinaceae","FALSE","enrichedFF","FALSE","enrichedFFPE",FALSE
"f__Saprospiraceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Sarcocystidae","FALSE","enrichedFF","FALSE","enrichedFFPE",FALSE
"f__Schizosaccharomycetaceae","TRUE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Schleiferiaceae","FALSE","enrichedFF","FALSE","enrichedFFPE",FALSE
"f__Sclerotiniaceae","TRUE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Selenomonadaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Silvanigrellaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Sinobacteraceae","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Siphoviridae","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Sordariaceae","TRUE","enrichedFFPE","TRUE","enrichedFFPE",TRUE
"f__Sphingobacteriaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Sphingomonadaceae","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Sphingosinicellaceae","FALSE","enrichedFF","FALSE","enrichedFFPE",FALSE
"f__Staphylococcaceae","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Steroidobacteraceae","FALSE","enrichedFF","TRUE","enrichedFF",FALSE
"f__Streptococcaceae","TRUE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Streptomycetaceae","TRUE","enrichedFF","TRUE","enrichedFF",TRUE
"f__Streptosporangiaceae","TRUE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Sutterellaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Symbiobacteriaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Synechococcaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Synergistaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Tannerellaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Tenuifilaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Tepidiformaceae","FALSE","enrichedFF","FALSE","enrichedFFPE",FALSE
"f__Theileriidae","TRUE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Thermaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Thermoguttaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Thermomonosporaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Thermoproteaceae","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Thioalkalibacteraceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Thiovulaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Treponemataceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Trichomonascaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Trueperaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Trypanosomatidae","TRUE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Tsukamurellaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__unclassified-g__Bigelowiella","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__unclassified-g__Candidatus","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__unclassified-g__Flintibacter","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__unclassified-g__Gemella","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__unclassified-g__Inhella","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__unclassified-g__Intestinimonas","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__unclassified-g__Leptothrix","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__unclassified-g__Massilistercora","FALSE","enrichedFF","FALSE","enrichedFFPE",FALSE
"f__unclassified-g__Methylibium","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__unclassified-g__Ndongobacter","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__unclassified-g__Nordella","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__unclassified-g__Plesiomonas","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__unclassified-g__Pseudorhodoplanes","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__unclassified-g__Rubrivivax","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__unclassified-g__Sphaerotilus","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__unclassified-g__Thiohalobacter","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__unclassified-s__endosymbiont of unidentified scaly snail isolate Monju","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Unikaryonidae","FALSE","enrichedFF","TRUE","enrichedFF",FALSE
"f__Ustilaginaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Vallitaleaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Veillonellaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Verrucomicrobiaceae","FALSE","enrichedFF","FALSE","enrichedFFPE",FALSE
"f__Vibrionaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Vicinamibacteraceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Waddliaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Weeksellaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Xanthomonadaceae","TRUE","enrichedFFPE","TRUE","enrichedFFPE",TRUE
"f__Yersiniaceae","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"g__Abiotrophia","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Acetomicrobium","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"g__Achromobacter","FALSE","enrichedFFPE","TRUE","enrichedFFPE",FALSE
"g__Acidaminococcus","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"g__Acidimicrobium","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"g__Acinetobacter","TRUE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Actinoalloteichus","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Actinocatenispora","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Actinomadura","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"g__Actinomarinicola","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"g__Actinomyces","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Actinoplanes","TRUE","enrichedFFPE","FALSE","enrichedFF",FALSE
"g__Actinopolymorpha","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"g__Actinosynnema","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"g__Actinotignum","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Adhaeribacter","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"g__Aerosticca","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Afipia","TRUE","enrichedFFPE","TRUE","enrichedFFPE",TRUE
"g__Agrobacterium","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"g__Akkermansia","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"g__Alcaligenes","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"g__Alistipes","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"g__Alloactinosynnema","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Alloprevotella","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Aminobacterium","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"g__Amycolatopsis","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"g__Anaerobutyricum","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"g__Anaerococcus","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Anaerocolumna","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"g__Anaerolinea","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"g__Andhravirus","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"g__Aquaspirillum","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"g__Aquiluna","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"g__Aquimarina","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Arachidicoccus","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"g__Arachnia","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Archangium","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"g__Arcticibacterium","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"g__Aromatoleum","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Asaia","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Aspergillus","TRUE","enrichedFFPE","FALSE","enrichedFF",FALSE
"g__Atopobium","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Aurantimicrobium","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"g__Aureliella","FALSE","enrichedFF","FALSE","enrichedFFPE",FALSE
"g__Austwickia","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Babesia","TRUE","enrichedFFPE","TRUE","enrichedFFPE",TRUE
"g__Bacillus","TRUE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Bacteroides","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"g__Barnesiella","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Besnoitia","TRUE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Bifidobacterium","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"g__Bigelowiella","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"g__Blastococcus","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Blautia","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Bordetella","FALSE","enrichedFF","FALSE","enrichedFFPE",FALSE
"g__Borrelia","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"g__Botrytis","TRUE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Brachyspira","TRUE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Brettanomyces","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"g__Brevefilum","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"g__Brucella","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Bulleidia","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Burkholderia","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"g__Butyricimonas","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Butyrivibrio","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"g__Caldibacillus","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"g__Caldilinea","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"g__Campylobacter","FALSE","enrichedFF","FALSE","enrichedFFPE",FALSE
"g__Candida","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"g__Candidatus","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"g__Capnocytophaga","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Caproicibacterium","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Caproiciproducens","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Caulifigura","FALSE","enrichedFF","FALSE","enrichedFFPE",FALSE
"g__Cedecea","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"g__Cercospora","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"g__Cereibacter","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"g__Chivirus","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Chondrocystis","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"g__Chondromyces","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"g__Christensenella","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"g__Chroococcidiopsis","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Chryseolinea","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"g__Chthonomonas","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Citricoccus","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Citrobacter","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Clavibacter","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Cloacibacillus","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Cloacibacterium","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Clostridioides","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Clostridium","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"g__Colletotrichum","TRUE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Collimonas","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"g__Comamonas","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"g__Conexivisphaera","TRUE","enrichedFFPE","TRUE","enrichedFFPE",TRUE
"g__Coprococcus","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"g__Corynebacterium","TRUE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Coxiella","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Croceimicrobium","FALSE","enrichedFF","FALSE","enrichedFFPE",FALSE
"g__Cronobacter","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"g__Cryptococcus","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"g__Cryptosporidium","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"g__Cupriavidus","TRUE","enrichedFFPE","FALSE","enrichedFF",FALSE
"g__Cutibacterium","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Cyanobium","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"g__Dactylococcopsis","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"g__Debaryomyces","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"g__Dechloromonas","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"g__Defluviicoccus","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Defluviimonas","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"g__Delftia","TRUE","enrichedFFPE","TRUE","enrichedFFPE",TRUE
"g__Denitrobacterium","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"g__Dermacoccus","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Desulfovibrio","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"g__Dialister","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Diaphorobacter","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"g__Dickeya","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"g__Dietzia","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"g__Dolosigranulum","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
