"microbe","PreNorm.sig","PreNorm.dir","Norm.sig","Norm.dir","consistentEffect"
"p__Chloroflexi","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"p__Chordata","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"p__Crenarchaeota","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"p__Cyanobacteria","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"p__Deinococcus","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"p__Euglenozoa","TRUE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"p__Euryarchaeota","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"p__Firmicutes","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"p__Fornicata","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"p__Fusobacteria","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"p__Gemmatimonadetes","TRUE","enrichedFFPE","FALSE","enrichedFF",FALSE
"p__Ignavibacteriae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"p__Kiritimatiellaeota","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"p__Microsporidia","FALSE","enrichedFF","TRUE","enrichedFF",FALSE
"p__Nitrospirae","FALSE","enrichedFF","FALSE","enrichedFFPE",FALSE
"p__Planctomycetes","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"p__Proteobacteria","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"p__Spirochaetes","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"p__Synergistetes","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"p__Tenericutes","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"p__Thaumarchaeota","TRUE","enrichedFFPE","TRUE","enrichedFFPE",TRUE
"p__unclassified-c__Candidatus","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"p__unclassified-c__Cryptophyceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"p__Uroviricota","TRUE","enrichedFFPE","TRUE","enrichedFFPE",TRUE
