"term","estimate","std.error","statistic","p.value","gene"
"AUH",-4683628.21101811,8646930.47956725,-0.541652118296262,0.58831430539598,"AUH"
"AUTS2",6385432.45187018,2225625.52286815,2.86905069440492,0.00430207002445596,"AUTS2"
"AVIL",1052871.28341994,2942445.63368141,0.357821830713877,0.720636946689985,"AVIL"
"AVP",1101889.38065306,4112857.06526177,0.26791336610258,0.788883292043448,"AVP"
"AVPR1B",5176349.00045665,3148384.23540691,1.64412873824076,0.100816873892205,"AVPR1B"
"AWAT2",202158.343346889,3552832.10724075,0.0569006182236662,0.954648492051308,"AWAT2"
"AXIN2",-5057145.68292883,2636743.42937486,-1.9179513738763,0.0557215330203472,"AXIN2"
"AZI1",2189323.24222586,5085900.98302893,0.430469104595504,0.667051341684608,"AZI1"
"AZI2",-5025297.10813009,8346130.95453223,-0.602110982382942,0.5473900004913,"AZI2"
"AZU1",619297.936200709,2527096.7729525,0.245063007807635,0.80651437945312,"AZU1"
"B2M",2585701.11799009,6351447.03147452,0.407104255955639,0.684116362955004,"B2M"
"B3GALNT1",1390146.26297697,2814810.22803426,0.493868556086565,0.621629237599889,"B3GALNT1"
"B3GALT1",-1474351.46164604,2137135.38862573,-0.689872747179632,0.490613976452121,"B3GALT1"
"B3GALT4",215141.21750944,3828600.50964989,0.0561931747559408,0.955211747582088,"B3GALT4"
"B3GAT1",7090087.30195165,1846866.77623216,3.83898145399329,0.000140416829974838,"B3GAT1"
"B3GNT2",-6999305.29569005,6376210.28983568,-1.09772184064375,0.272886830120201,"B3GNT2"
"B3GNT6",-2656465.72230713,1506402.57662423,-1.76345006542683,0.0784729467385164,"B3GNT6"
"B3GNT8",-2592987.5027972,3027571.51814609,-0.85645788621535,0.392180076651592,"B3GNT8"
"B3GNT9",4289968.79957244,3180688.39650254,1.34875481807324,0.178063847914131,"B3GNT9"
"B4GALNT4",2555530.72819712,1475340.55006949,1.73216328126869,0.0838991653190543,"B4GALNT4"
"B4GALT5",-842353.451528415,7679146.21314699,-0.109693633660246,0.912699069862591,"B4GALT5"
"BABAM1",859397.729304245,10180121.6508085,0.0844192003575898,0.932759011224856,"BABAM1"
"`BACE1-AS`",3090462.92424036,2229025.88573143,1.38646345205016,0.166261344895919,"BACE1-AS"
"BACH1",7124904.55104717,7711828.64439674,0.923893006391419,0.356015090682249,"BACH1"
"BAD",-866731.38306732,4909457.40744137,-0.176543212647817,0.859943087533046,"BAD"
"BAG1",-10358889.3202999,6474053.75794429,-1.60006229599013,0.110255277115757,"BAG1"
"BAG2",-1233582.29213448,2951351.00820933,-0.417972070656187,0.676158024145376,"BAG2"
"BAG3",5327723.24458531,5356615.46323398,0.994606254854959,0.320438493751103,"BAG3"
"BAG5",-13593957.7324718,7888806.26222371,-1.72319578914845,0.0855094367103399,"BAG5"
"BAG6",7119377.10121278,12165573.1092407,0.585206881524145,0.55868887197876,"BAG6"
"BAGE",579509.80940785,1959999.00873774,0.295668419639181,0.767613620020031,"BAGE"
"BAGE4",30598.8363706893,3049944.77064292,0.010032587037384,0.991999535920891,"BAGE4"
"BAHD1",4200878.06741779,5899073.82632251,0.71212502014687,0.476739949171439,"BAHD1"
"BANF2",6810257.29545269,5752390.76220659,1.18390032544317,0.237049656458073,"BANF2"
"BARHL1",2999609.42988833,3422072.8939386,0.876547497045267,0.381179303394969,"BARHL1"
"BARHL2",2778234.15795616,3038254.09173063,0.914417976270591,0.360965133170979,"BARHL2"
"BARX1",1691240.0481769,1339967.76274109,1.26214980330365,0.207519498475897,"BARX1"
"BAZ1A",-2416187.15428479,5954629.58419379,-0.405766155580595,0.685098694053422,"BAZ1A"
"BAZ1B",15435557.2764934,9281050.66532399,1.66312606547489,0.0969524232979744,"BAZ1B"
"BAZ2A",10067663.0990501,7801373.85197516,1.29049873651435,0.197510689585326,"BAZ2A"
"BBC3",-6650210.7107327,3310447.98884623,-2.00885521631483,0.0451226636319394,"BBC3"
"BBIP1",1645678.70981525,4985570.01183935,0.330088376235259,0.741479949629759,"BBIP1"
"BBOX1",1542269.57247405,1915305.23430162,0.805234353696321,0.421090759317835,"BBOX1"
"BBS4",14220494.8911193,5120198.4611358,2.77733275361456,0.00569934019825097,"BBS4"
"BBS7",-6489943.86530638,8533379.34741085,-0.760536195695498,0.447314692710387,"BBS7"
"BCAR1",-5542161.42516004,6372892.38384008,-0.869646165564235,0.384936759824563,"BCAR1"
